CONTRACT_ID,PLAN_ID,RXCUI,DISEASE
H1994,001,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,001,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,001,1876406,"ASTHMA"
H1994,001,1876406,"PRURIGO NODULARIS"
H1994,001,1876406,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,001,2197890,"CATAPLEXY"
H1994,001,2197890,"NARCOLEPSY"
H1994,001,2197894,"CATAPLEXY"
H1994,001,2197894,"NARCOLEPSY"
H1994,001,2282320,"MIGRAINE DISORDERS"
H1994,001,2375329,"ASTHMA"
H1994,001,2375329,"PRURIGO NODULARIS"
H1994,001,2375329,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,001,2472321,"URINARY BLADDER, OVERACTIVE"
H1994,001,2553506,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,001,2553603,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,001,2553803,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,001,2553903,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,001,2554104,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,002,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,002,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,002,1876406,"ASTHMA"
H1994,002,1876406,"PRURIGO NODULARIS"
H1994,002,1876406,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,002,2197890,"CATAPLEXY"
H1994,002,2197890,"NARCOLEPSY"
H1994,002,2197894,"CATAPLEXY"
H1994,002,2197894,"NARCOLEPSY"
H1994,002,2282320,"MIGRAINE DISORDERS"
H1994,002,2375329,"ASTHMA"
H1994,002,2375329,"PRURIGO NODULARIS"
H1994,002,2375329,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,002,2472321,"URINARY BLADDER, OVERACTIVE"
H1994,002,2553506,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,002,2553603,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,002,2553803,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,002,2553903,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,002,2554104,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,007,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,007,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,007,1876406,"ASTHMA"
H1994,007,1876406,"PRURIGO NODULARIS"
H1994,007,1876406,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,007,2197890,"CATAPLEXY"
H1994,007,2197890,"NARCOLEPSY"
H1994,007,2197894,"CATAPLEXY"
H1994,007,2197894,"NARCOLEPSY"
H1994,007,2282320,"MIGRAINE DISORDERS"
H1994,007,2375329,"ASTHMA"
H1994,007,2375329,"PRURIGO NODULARIS"
H1994,007,2375329,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,007,2472321,"URINARY BLADDER, OVERACTIVE"
H1994,007,2553506,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,007,2553603,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,007,2553803,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,007,2553903,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,007,2554104,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,012,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,012,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,012,1876406,"ASTHMA"
H1994,012,1876406,"PRURIGO NODULARIS"
H1994,012,1876406,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,012,2197890,"CATAPLEXY"
H1994,012,2197890,"NARCOLEPSY"
H1994,012,2197894,"CATAPLEXY"
H1994,012,2197894,"NARCOLEPSY"
H1994,012,2282320,"MIGRAINE DISORDERS"
H1994,012,2375329,"ASTHMA"
H1994,012,2375329,"PRURIGO NODULARIS"
H1994,012,2375329,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,012,2472321,"URINARY BLADDER, OVERACTIVE"
H1994,012,2553506,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,012,2553603,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,012,2553803,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,012,2553903,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,012,2554104,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,015,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,015,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,015,1876406,"ASTHMA"
H1994,015,1876406,"PRURIGO NODULARIS"
H1994,015,1876406,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,015,2197890,"CATAPLEXY"
H1994,015,2197890,"NARCOLEPSY"
H1994,015,2197894,"CATAPLEXY"
H1994,015,2197894,"NARCOLEPSY"
H1994,015,2282320,"MIGRAINE DISORDERS"
H1994,015,2375329,"ASTHMA"
H1994,015,2375329,"PRURIGO NODULARIS"
H1994,015,2375329,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,015,2472321,"URINARY BLADDER, OVERACTIVE"
H1994,015,2553506,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,015,2553603,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,015,2553803,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,015,2553903,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,015,2554104,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,017,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,017,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,017,1876406,"ASTHMA"
H1994,017,1876406,"PRURIGO NODULARIS"
H1994,017,1876406,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,017,2197890,"CATAPLEXY"
H1994,017,2197890,"NARCOLEPSY"
H1994,017,2197894,"CATAPLEXY"
H1994,017,2197894,"NARCOLEPSY"
H1994,017,2282320,"MIGRAINE DISORDERS"
H1994,017,2375329,"ASTHMA"
H1994,017,2375329,"PRURIGO NODULARIS"
H1994,017,2375329,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
H1994,017,2472321,"URINARY BLADDER, OVERACTIVE"
H1994,017,2553506,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,017,2553603,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,017,2553803,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,017,2553903,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,017,2554104,"MAJOR ADVERSE CARDIAC EVENTS"
H1994,021,1745108,"SPONDYLITIS, ANKYLOSING"
H1994,021,1745114,"SPONDYLITIS, ANKYLOSING"
H1994,021,1876406,"ASTHMA"
